time,1,2,3,4,5,6,7,8,9
0,9.927916274,8.413086779,7.637001663,6.691601186,4.722155714,3.016696331,1.219470092,0.396698364,-0.058788441
1,10.10443086,8.465650978,7.669602094,6.810532957,5.044790547,3.259839446,1.345650287,0.446334974,-0.176555001
2,10.0465598,8.35120601,7.555170533,6.629971076,4.865984069,2.78223117,1.375646104,0.512742252,-0.132255863
3,9.739636504,8.192238718,7.487880044,6.645668366,4.827286649,2.575537463,1.286141744,0.283798091,-0.418770596
4,9.781248419,8.230960202,7.524763147,6.621782321,4.820871617,2.399217849,1.075908985,0.111887441,-0.450332185
5,9.62856733,8.19481867,7.473481948,6.248503852,3.812252278,1.627871683,0.645797795,-0.270981809,-0.704613489
6,9.930615291,8.302259165,7.528202381,6.474418908,4.303895775,1.926142086,0.844618898,-0.118957734,-0.654381439
7,10.03689875,8.535122861,7.830228223,7.081867306,5.395950503,3.214430443,1.113233722,0.04088001,-0.467257601
8,9.780396352,8.424621003,7.769260405,6.656342917,4.63163067,2.212449101,0.632384962,-0.018245518,-0.459412696
9,9.710180872,8.48994888,7.755478522,6.443272464,4.340328513,2.475135367,0.886352363,0.015652835,-0.444992575
10,9.503444648,8.362917424,7.665809563,5.989880204,3.642850175,2.01988871,0.868230441,0.108469662,-0.401532668
11,9.311630836,8.167534256,7.435223809,5.999829615,3.982317896,2.35358789,1.110088787,0.275177415,-0.16215257
12,9.530079337,8.123031857,7.412270096,6.20267716,3.967474973,1.901469724,0.592890353,-0.077178485,-0.417305575
13,9.480053356,8.128784429,7.418154788,6.237295167,4.031300987,1.818178949,0.440476713,-0.156892683,-0.451236625
14,9.590938385,8.067776738,7.390270883,6.331057796,3.926085606,1.258917748,0.122452888,-0.30695933,-0.530654178
15,9.567150532,8.149008924,7.523252584,6.700357487,4.58996338,2.183877453,0.516086333,-0.072926031,-0.374499123
16,9.552894392,8.218744827,7.609858433,6.740225852,4.657600201,2.367749531,0.611444158,-0.039641959,-0.337449946
17,9.488933124,8.167520455,7.526101795,6.553852007,4.411864365,2.065531835,0.428400771,-0.048101746,-0.24739144
18,9.533674641,8.16653837,7.506723801,6.733220958,4.773408231,2.550543366,1.014333799,0.084980493,-0.223244592
19,9.620090542,8.303433017,7.595491318,6.884914883,5.293954893,3.28178591,1.734949406,0.73663989,0.116043267
20,9.67088255,8.359615729,7.660796154,6.951527496,5.485910838,3.682307011,1.987051659,0.570123191,-0.178823085
21,9.444963593,8.258060329,7.581679859,6.853256534,5.287025328,3.507298855,1.790079864,0.551047171,-0.053178294
22,9.462524275,8.335551678,7.624403884,6.66105265,5.057369164,3.301299596,1.466104169,0.286287406,-0.26912707
23,9.448030097,8.365310397,7.59579153,6.623575483,4.939795886,3.046453423,1.408606739,0.348141853,-0.206897749
24,9.335469841,8.278557131,7.463467249,6.352641026,4.556730172,2.729353634,1.475271108,0.582651645,-0.016982234
25,9.447628348,8.405899827,7.607208721,6.538455707,4.947535135,3.335552047,2.113772596,1.04715907,0.353257778
26,9.22963502,8.063066593,7.111972058,6.040770572,4.407198133,2.809444573,1.569083997,0.650333069,0.021212175
27,9.23471816,8.023057448,7.223679621,6.224110908,4.460013973,2.973496776,1.744973816,0.649132447,-0.016465473
28,9.127776031,7.916920273,7.169200177,6.11508161,4.636292558,3.096788259,1.804862635,0.720672674,-0.023654306
29,9.291226488,7.971551412,7.278025659,6.225559792,4.602312145,3.082369504,1.873438767,0.936525621,0.187960522
30,9.412420983,8.082938225,7.48679714,6.573497345,4.889219746,3.26465929,1.900825341,0.965275682,0.281677619
